version,n-workers,n-secondary-workers,n-reservations,n-relations,n-queries,password-work-factor,Energy Cores,Energy Ram,Energy Gpu,Energy Pkg,Time (perf) (s),Time (exec) (s),Ratio time (%),Power_Cores,Power_Ram,Power_Gpu,Power_Pkg
original,24,0,1000,50,10,5,126.1,1.86,0.04,127.41,4.052421,1.504639,0.3712939,31.12,0.46,0.01,31.44
original,26,0,1000,50,10,5,129.12,1.89,0.03,130.44,4.1310412,1.565701,0.3790088,31.26,0.46,0.01,31.58
original,28,0,1000,50,10,5,126.59,1.86,0.03,127.88,4.0777245,1.540226,0.377717,31.04,0.46,0.01,31.36
original,30,0,1000,50,10,5,130.65,1.91,0.04,131.98,4.1481727,1.59125,0.3836026,31.5,0.46,0.01,31.82
original,32,0,1000,50,10,5,136.67,1.96,0.06,138.08,4.2872748,1.683614,0.3927003,31.88,0.46,0.01,32.21
original,34,0,1000,50,10,5,134.29,1.92,0.03,135.63,4.2196451,1.645403,0.3899387,31.82,0.46,0.01,32.14
original,36,0,1000,50,10,5,125.53,1.85,0.04,126.82,4.0245854,1.503743,0.3736392,31.19,0.46,0.01,31.51
original,38,0,1000,50,10,5,134.28,1.94,0.03,135.63,4.2377816,1.66437,0.3927456,31.69,0.46,0.01,32.0
original,40,0,1000,50,10,5,135.04,1.93,0.03,136.38,4.1967853,1.6378,0.3902511,32.18,0.46,0.01,32.5
original,42,0,1000,50,10,5,132.53,1.93,0.04,133.88,4.1952144,1.620964,0.3863841,31.59,0.46,0.01,31.91
original,44,0,1000,50,10,5,141.78,2.01,0.05,143.2,4.386526,1.819578,0.4148107,32.32,0.46,0.01,32.65
original,46,0,1000,50,10,5,132.9,1.9,0.03,134.21,4.1451473,1.624556,0.3919176,32.06,0.46,0.01,32.38
original,48,0,1000,50,10,5,129.79,1.91,0.04,131.12,4.1511218,1.604973,0.386636,31.27,0.46,0.01,31.59
original,50,0,1000,50,10,5,134.39,1.95,0.05,135.75,4.2149623,1.650454,0.3915703,31.88,0.46,0.01,32.21
original,52,0,1000,50,10,5,139.46,1.98,0.03,140.84,4.3123714,1.735649,0.4024813,32.34,0.46,0.01,32.66
original,54,0,1000,50,10,5,131.63,1.93,0.04,132.97,4.1750483,1.588154,0.3803918,31.53,0.46,0.01,31.85
original,56,0,1000,50,10,5,138.99,1.97,0.04,140.36,4.2806665,1.709642,0.3993869,32.47,0.46,0.01,32.79
original,58,0,1000,50,10,5,130.95,1.91,0.03,132.27,4.1555216,1.579717,0.3801489,31.51,0.46,0.01,31.83
original,60,0,1000,50,10,5,135.44,1.96,0.04,136.8,4.2492875,1.669155,0.3928082,31.87,0.46,0.01,32.19
original,62,0,1000,50,10,5,136.01,1.96,0.04,137.38,4.2457698,1.681953,0.396148,32.03,0.46,0.01,32.36
original,64,0,1000,50,10,5,137.5,1.97,0.04,138.88,4.2804272,1.699133,0.3969541,32.12,0.46,0.01,32.45
original,1,0,1000,50,10,5,84.87,2.01,0.05,86.48,5.1306606,2.605078,0.5077471,16.54,0.39,0.01,16.86
original,2,0,1000,50,10,5,88.99,1.81,0.05,90.38,4.3805488,1.846369,0.4214926,20.31,0.41,0.01,20.63
original,4,0,1000,50,10,5,98.8,1.71,0.01,100.03,3.9168735,1.397764,0.3568571,25.22,0.44,0.0,25.54
original,6,0,1000,50,10,5,110.79,1.71,0.04,112.01,3.7675359,1.235772,0.3280054,29.41,0.45,0.01,29.73
original,8,0,1000,50,10,5,113.35,1.76,0.05,114.6,3.8720051,1.315639,0.3397823,29.27,0.45,0.01,29.6
original,10,0,1000,50,10,5,114.49,1.75,0.04,115.73,3.825723,1.293741,0.338169,29.93,0.46,0.01,30.25
original,12,0,1000,50,10,5,118.05,1.79,0.06,119.35,3.9491631,1.395941,0.3534777,29.89,0.45,0.02,30.22
original,14,0,1000,50,10,5,120.05,1.8,0.04,121.32,3.9273683,1.385175,0.352698,30.57,0.46,0.01,30.89
original,16,0,1000,50,10,5,120.63,1.8,0.03,121.89,3.9616768,1.406517,0.3550307,30.45,0.45,0.01,30.77
original,18,0,1000,50,10,5,121.35,1.82,0.04,122.64,3.9909904,1.405038,0.3520525,30.41,0.46,0.01,30.73
original,20,0,1000,50,10,5,123.49,1.82,0.03,124.77,3.9922956,1.445984,0.3621936,30.93,0.46,0.01,31.25
original,22,0,1000,50,10,5,125.39,1.84,0.03,126.68,4.0224754,1.462297,0.3635316,31.17,0.46,0.01,31.49
original,24,0,1000,50,10,5,128.57,1.87,0.04,129.88,4.0932037,1.52417,0.372366,31.41,0.46,0.01,31.73
original,26,0,1000,50,10,5,129.85,1.88,0.05,131.18,4.1159703,1.54459,0.3752675,31.55,0.46,0.01,31.87
original,28,0,1000,50,10,5,130.38,1.89,0.03,131.71,4.1625001,1.574129,0.3781691,31.32,0.45,0.01,31.64
original,30,0,1000,50,10,5,128.6,1.89,0.04,129.93,4.1308959,1.546062,0.374268,31.13,0.46,0.01,31.45
original,32,0,1000,50,10,5,132.25,1.92,0.06,133.61,4.188728,1.607095,0.3836714,31.57,0.46,0.01,31.9
original,34,0,1000,50,10,5,133.73,1.93,0.03,135.08,4.2175281,1.640777,0.3890376,31.71,0.46,0.01,32.03
original,36,0,1000,50,10,5,129.23,1.91,0.05,130.59,4.1756728,1.55197,0.3716695,30.95,0.46,0.01,31.27
original,38,0,1000,50,10,5,133.48,1.93,0.04,134.83,4.2170183,1.640562,0.3890336,31.65,0.46,0.01,31.97
original,40,0,1000,50,10,5,130.7,1.91,0.03,132.03,4.14355,1.581272,0.3816225,31.54,0.46,0.01,31.86
original,42,0,1000,50,10,5,138.33,1.96,0.05,139.7,4.2317221,1.698002,0.4012556,32.69,0.46,0.01,33.01
original,44,0,1000,50,10,5,132.68,1.92,0.04,134.01,4.1618838,1.59984,0.3844029,31.88,0.46,0.01,32.2
original,46,0,1000,50,10,5,128.3,1.88,0.02,129.61,4.0988339,1.538968,0.3754648,31.3,0.46,0.0,31.62
original,48,0,1000,50,10,5,139.89,1.98,0.06,141.29,4.2789517,1.753383,0.4097693,32.69,0.46,0.01,33.02
original,50,0,1000,50,10,5,132.5,1.93,0.04,133.85,4.1868867,1.610564,0.3846686,31.65,0.46,0.01,31.97
original,52,0,1000,50,10,5,128.52,1.87,0.02,129.81,4.0749874,1.54111,0.3781877,31.54,0.46,0.0,31.86
original,54,0,1000,50,10,5,137.05,1.97,0.04,138.42,4.2489053,1.690796,0.3979369,32.26,0.46,0.01,32.58
original,56,0,1000,50,10,5,142.37,2.01,0.05,143.77,4.3164535,1.755644,0.406733,32.98,0.47,0.01,33.31
original,58,0,1000,50,10,5,139.23,1.98,0.03,140.58,4.2364798,1.693141,0.3996575,32.86,0.47,0.01,33.18
original,60,0,1000,50,10,5,149.25,2.08,0.05,150.69,4.4457598,1.881545,0.4232224,33.57,0.47,0.01,33.9
original,62,0,1000,50,10,5,146.54,2.04,0.05,147.94,4.3623682,1.838569,0.4214612,33.59,0.47,0.01,33.91
original,64,0,1000,50,10,5,140.72,2.0,0.03,142.09,4.2795743,1.726049,0.4033226,32.88,0.47,0.01,33.2
original,1,0,1000,50,10,5,85.49,2.0,0.05,87.08,5.111913,2.592635,0.5071751,16.72,0.39,0.01,17.03
original,2,0,1000,50,10,5,88.76,1.81,0.05,90.15,4.3617163,1.835172,0.4207454,20.35,0.41,0.01,20.67
original,4,0,1000,50,10,5,97.1,1.7,0.02,98.31,3.9035024,1.383984,0.3545493,24.88,0.44,0.01,25.19
original,6,0,1000,50,10,5,110.14,1.7,0.04,111.34,3.733321,1.21019,0.3241591,29.5,0.46,0.01,29.82
original,8,0,1000,50,10,5,111.59,1.72,0.05,112.82,3.8118969,1.275826,0.3346958,29.27,0.45,0.01,29.6
original,10,0,1000,50,10,5,111.38,1.72,0.05,112.61,3.7618926,1.241674,0.3300663,29.61,0.46,0.01,29.93
original,12,0,1000,50,10,5,114.62,1.75,0.03,115.85,3.8408975,1.344437,0.350032,29.84,0.46,0.01,30.16
original,14,0,1000,50,10,5,119.23,1.79,0.05,120.5,3.9137456,1.367245,0.3493444,30.46,0.46,0.01,30.79
original,16,0,1000,50,10,5,116.18,1.77,0.04,117.43,3.9124274,1.330629,0.3401032,29.7,0.45,0.01,30.01
original,18,0,1000,50,10,5,122.05,1.81,0.05,123.33,3.9666439,1.407709,0.3548867,30.77,0.46,0.01,31.09
original,20,0,1000,50,10,5,122.45,1.83,0.07,123.77,3.9987461,1.461348,0.3654516,30.62,0.46,0.02,30.95
original,22,0,1000,50,10,5,126.27,1.85,0.04,127.59,4.0607315,1.510545,0.3719884,31.1,0.46,0.01,31.42
original,24,0,1000,50,10,5,132.07,1.91,0.05,133.43,4.190963,1.626106,0.3880029,31.51,0.46,0.01,31.84
original,26,0,1000,50,10,5,129.07,1.88,0.04,130.39,4.0874963,1.546401,0.3783247,31.58,0.46,0.01,31.9
original,28,0,1000,50,10,5,130.73,1.88,0.02,132.04,4.1280362,1.586043,0.3842125,31.67,0.46,0.0,31.99
original,30,0,1000,50,10,5,133.88,1.95,0.03,135.25,4.2457944,1.63214,0.3844133,31.53,0.46,0.01,31.86
original,32,0,1000,50,10,5,131.45,1.9,0.05,132.8,4.1282138,1.583379,0.3835506,31.84,0.46,0.01,32.17
original,34,0,1000,50,10,5,134.99,1.93,0.03,136.33,4.2179907,1.628933,0.386187,32.0,0.46,0.01,32.32
original,36,0,1000,50,10,5,133.67,1.91,0.06,135.02,4.1523008,1.624703,0.3912778,32.19,0.46,0.01,32.52
original,38,0,1000,50,10,5,130.17,1.9,0.04,131.51,4.1471595,1.570551,0.3787052,31.39,0.46,0.01,31.71
original,40,0,1000,50,10,5,130.06,1.88,0.02,131.35,4.093499,1.565962,0.3825485,31.77,0.46,0.0,32.09
original,42,0,1000,50,10,5,135.13,1.92,0.04,136.47,4.1645592,1.656156,0.3976786,32.45,0.46,0.01,32.77
original,44,0,1000,50,10,5,133.89,1.94,0.05,135.26,4.2028692,1.642833,0.3908837,31.86,0.46,0.01,32.18
original,46,0,1000,50,10,5,131.32,1.91,0.03,132.65,4.1685946,1.581741,0.3794423,31.5,0.46,0.01,31.82
original,48,0,1000,50,10,5,134.22,1.93,0.05,135.59,4.2099801,1.636979,0.388833,31.88,0.46,0.01,32.21
original,50,0,1000,50,10,5,136.1,1.95,0.04,137.46,4.2292547,1.665023,0.3936918,32.18,0.46,0.01,32.5
original,52,0,1000,50,10,5,133.13,1.92,0.03,134.47,4.1723721,1.619025,0.3880347,31.91,0.46,0.01,32.23
original,54,0,1000,50,10,5,134.46,1.96,0.04,135.82,4.2238513,1.637967,0.3877899,31.83,0.46,0.01,32.16
original,56,0,1000,50,10,5,130.25,1.92,0.04,131.58,4.1677101,1.607726,0.3857576,31.25,0.46,0.01,31.57
original,58,0,1000,50,10,5,129.71,1.92,0.04,131.05,4.1682075,1.632214,0.3915866,31.12,0.46,0.01,31.44
original,60,0,1000,50,10,5,139.06,1.98,0.04,140.44,4.2849783,1.717982,0.4009313,32.45,0.46,0.01,32.77
original,62,0,1000,50,10,5,136.67,1.96,0.05,138.05,4.2385054,1.677616,0.3958037,32.24,0.46,0.01,32.57
original,64,0,1000,50,10,5,140.25,2.0,0.03,141.63,4.3293363,1.757569,0.4059673,32.4,0.46,0.01,32.71
original,1,0,1000,50,10,5,85.6,2.01,0.06,87.22,5.1463441,2.605412,0.5062646,16.63,0.39,0.01,16.95
original,2,0,1000,50,10,5,86.74,1.8,0.05,88.13,4.3145078,1.780696,0.4127229,20.1,0.42,0.01,20.43
original,4,0,1000,50,10,5,98.91,1.71,0.04,100.16,3.9394823,1.421427,0.3608157,25.11,0.43,0.01,25.42
original,6,0,1000,50,10,5,107.5,1.68,0.05,108.71,3.6887102,1.202528,0.3260023,29.14,0.46,0.01,29.47
original,8,0,1000,50,10,5,112.18,1.72,0.04,113.4,3.7648202,1.271565,0.3377492,29.8,0.46,0.01,30.12
original,10,0,1000,50,10,5,115.39,1.76,0.04,116.64,3.8749973,1.320023,0.3406513,29.78,0.45,0.01,30.1
original,12,0,1000,50,10,5,114.63,1.75,0.05,115.88,3.8426357,1.297544,0.3376703,29.83,0.46,0.01,30.16
original,14,0,1000,50,10,5,118.11,1.78,0.05,119.4,3.9127229,1.362403,0.3481982,30.19,0.45,0.01,30.52
original,16,0,1000,50,10,5,119.55,1.78,0.04,120.8,3.8937777,1.379384,0.3542534,30.7,0.46,0.01,31.02
original,18,0,1000,50,10,5,122.41,1.83,0.06,123.73,4.0280526,1.424808,0.3537213,30.39,0.45,0.01,30.72
original,20,0,1000,50,10,5,124.11,1.83,0.06,125.4,4.0111525,1.45457,0.3626314,30.94,0.46,0.01,31.26
original,22,0,1000,50,10,5,123.68,1.87,0.03,125.0,4.1170213,1.478741,0.3591774,30.04,0.45,0.01,30.36
original,24,0,1000,50,10,5,125.03,1.83,0.04,126.33,3.9845223,1.469502,0.3688025,31.38,0.46,0.01,31.71
original,26,0,1000,50,10,5,126.96,1.86,0.06,128.29,4.0483849,1.51346,0.3738429,31.36,0.46,0.01,31.69
original,28,0,1000,50,10,5,133.52,1.91,0.03,134.86,4.1995012,1.673181,0.3984237,31.79,0.45,0.01,32.11
original,30,0,1000,50,10,5,128.3,1.87,0.05,129.62,4.0990843,1.5291,0.3730345,31.3,0.46,0.01,31.62
original,32,0,1000,50,10,5,131.4,1.92,0.05,132.76,4.1686892,1.581522,0.3793811,31.52,0.46,0.01,31.85
