version,n-workers,n-secondary-workers,n-reservations,n-relations,n-queries,password-work-factor,Energy Cores,Energy Ram,Energy Gpu,Energy Pkg,Time (perf) (s),Time (exec) (s),Ratio time (%),Power_Cores,Power_Ram,Power_Gpu,Power_Pkg
original,6,0,10,50,10,5,48.19,5.4,0.09,74.21,2.6741031,0.02781,0.0103997,18.02,2.02,0.03,27.75
original,8,0,10,50,10,5,48.54,5.38,0.08,74.46,2.676204,0.037058,0.0138472,18.14,2.01,0.03,27.82
original,10,0,10,50,10,5,48.76,5.47,0.08,75.13,2.7161476,0.037119,0.013666,17.95,2.01,0.03,27.66
original,12,0,10,50,10,5,48.7,5.45,0.1,74.79,2.7020527,0.033073,0.01224,18.02,2.02,0.04,27.68
original,14,0,10,50,10,5,48.93,5.46,0.07,75.06,2.7050327,0.034939,0.0129163,18.09,2.02,0.03,27.75
original,16,0,10,50,10,5,49.23,5.5,0.11,75.59,2.7201103,0.03423,0.012584,18.1,2.02,0.04,27.79
original,18,0,10,50,10,5,48.93,5.45,0.08,75.12,2.6922816,0.033657,0.0125013,18.17,2.02,0.03,27.9
original,20,0,10,50,10,5,50.09,5.5,0.09,76.56,2.7123468,0.036536,0.0134703,18.47,2.03,0.03,28.23
original,22,0,10,50,10,5,50.86,5.45,0.09,77.15,2.6924645,0.046578,0.0172994,18.89,2.02,0.03,28.65
original,24,0,10,50,10,5,51.32,5.59,0.1,78.1,2.7634353,0.066484,0.0240585,18.57,2.02,0.04,28.26
original,26,0,10,50,10,5,50.0,5.52,0.08,76.47,2.7274524,0.038827,0.0142356,18.33,2.02,0.03,28.04
original,28,0,10,50,10,5,49.61,5.47,0.1,75.85,2.7047075,0.031311,0.0115765,18.34,2.02,0.04,28.04
original,30,0,10,50,10,5,50.11,5.53,0.09,76.42,2.716471,0.033071,0.0121743,18.45,2.04,0.03,28.13
original,32,0,10,50,10,5,49.85,5.47,0.09,76.07,2.6950415,0.037153,0.0137857,18.5,2.03,0.03,28.23
original,34,0,10,50,10,5,50.29,5.58,0.11,76.96,2.7425076,0.039901,0.0145491,18.34,2.03,0.04,28.06
original,36,0,10,50,10,5,49.64,5.47,0.1,75.79,2.7080183,0.032272,0.0119172,18.33,2.02,0.04,27.99
original,38,0,10,50,10,5,50.11,5.53,0.08,76.46,2.7271886,0.040745,0.0149403,18.37,2.03,0.03,28.04
original,40,0,10,50,10,5,50.38,5.57,0.09,77.15,2.7443817,0.048843,0.0177975,18.36,2.03,0.03,28.11
original,42,0,10,50,10,5,50.43,5.51,0.1,76.93,2.7223634,0.034246,0.0125795,18.52,2.02,0.04,28.26
original,44,0,10,50,10,5,50.05,5.46,0.1,76.28,2.6850273,0.031192,0.011617,18.64,2.03,0.04,28.41
original,46,0,10,50,10,5,50.15,5.47,0.09,76.65,2.7040936,0.03662,0.0135424,18.55,2.02,0.03,28.35
original,48,0,10,50,10,5,50.39,5.57,0.1,77.06,2.737596,0.036295,0.013258,18.41,2.03,0.04,28.15
original,50,0,10,50,10,5,50.04,5.49,0.08,76.5,2.7121311,0.037181,0.0137091,18.45,2.02,0.03,28.21
original,52,0,10,50,10,5,50.63,5.56,0.1,77.52,2.7431636,0.043875,0.0159943,18.46,2.03,0.04,28.26
original,54,0,10,50,10,5,50.23,5.51,0.09,76.92,2.7221266,0.035049,0.0128756,18.45,2.02,0.03,28.26
original,56,0,10,50,10,5,50.47,5.52,0.11,77.23,2.7250217,0.035097,0.0128795,18.52,2.03,0.04,28.34
original,58,0,10,50,10,5,50.28,5.53,0.09,76.76,2.7290583,0.036523,0.013383,18.42,2.03,0.03,28.13
original,60,0,10,50,10,5,50.04,5.53,0.1,76.67,2.7139711,0.038799,0.014296,18.44,2.04,0.04,28.25
original,62,0,10,50,10,5,50.73,5.59,0.08,77.57,2.752718,0.035911,0.0130457,18.43,2.03,0.03,28.18
original,64,0,10,50,10,5,50.3,5.54,0.1,76.91,2.7382715,0.039819,0.0145417,18.37,2.02,0.04,28.09
original,1,0,10,50,10,5,49.96,5.49,0.1,76.43,2.7107138,0.042754,0.0157722,18.43,2.03,0.04,28.2
original,2,0,10,50,10,5,50.31,5.55,0.1,77.1,2.7398405,0.037008,0.0135074,18.36,2.03,0.04,28.14
original,4,0,10,50,10,5,49.97,5.46,0.08,76.34,2.7064253,0.031718,0.0117195,18.46,2.02,0.03,28.21
original,6,0,10,50,10,5,48.99,5.43,0.09,75.3,2.7020123,0.028826,0.0106683,18.13,2.01,0.03,27.87
original,8,0,10,50,10,5,48.84,5.41,0.09,74.96,2.6880008,0.033851,0.0125934,18.17,2.01,0.03,27.89
original,10,0,10,50,10,5,49.2,5.47,0.11,75.77,2.7138997,0.043134,0.0158937,18.13,2.02,0.04,27.92
original,12,0,10,50,10,5,49.13,5.39,0.08,75.31,2.6799292,0.039073,0.0145799,18.33,2.01,0.03,28.1
original,14,0,10,50,10,5,50.28,5.56,0.13,77.09,2.7450442,0.035352,0.0128785,18.32,2.03,0.05,28.08
original,16,0,10,50,10,5,49.53,5.47,0.09,75.9,2.7064785,0.036986,0.0136657,18.3,2.02,0.03,28.04
original,18,0,10,50,10,5,49.46,5.47,0.09,75.87,2.7091477,0.03301,0.0121846,18.26,2.02,0.03,28.01
original,20,0,10,50,10,5,49.14,5.4,0.07,75.3,2.6773701,0.029067,0.0108565,18.35,2.02,0.03,28.12
original,22,0,10,50,10,5,49.64,5.49,0.11,76.27,2.7148393,0.040068,0.0147589,18.28,2.02,0.04,28.09
original,24,0,10,50,10,5,49.5,5.41,0.09,75.78,2.6817089,0.033563,0.0125155,18.46,2.02,0.03,28.26
original,26,0,10,50,10,5,48.86,5.46,0.1,75.02,2.7058108,0.030018,0.0110939,18.06,2.02,0.04,27.73
original,28,0,10,50,10,5,48.94,5.5,0.09,75.27,2.7220203,0.034869,0.01281,17.98,2.02,0.03,27.65
original,30,0,10,50,10,5,48.81,5.42,0.1,75.01,2.6915076,0.029894,0.0111068,18.13,2.01,0.04,27.87
original,32,0,10,50,10,5,49.03,5.43,0.08,75.25,2.6947459,0.036289,0.0134666,18.19,2.02,0.03,27.92
original,34,0,10,50,10,5,49.13,5.47,0.1,75.47,2.7130131,0.033909,0.0124986,18.11,2.02,0.04,27.82
original,36,0,10,50,10,5,49.07,5.43,0.08,75.24,2.6946112,0.033297,0.0123569,18.21,2.02,0.03,27.92
original,38,0,10,50,10,5,49.7,5.41,0.09,76.06,2.6917793,0.035237,0.0130906,18.46,2.01,0.03,28.26
original,40,0,10,50,10,5,49.7,5.48,0.11,76.3,2.7157923,0.037662,0.0138678,18.3,2.02,0.04,28.09
original,42,0,10,50,10,5,49.62,5.49,0.11,76.27,2.7251192,0.032931,0.0120842,18.21,2.01,0.04,27.99
original,44,0,10,50,10,5,49.27,5.42,0.08,75.49,2.6989604,0.038975,0.0144407,18.26,2.01,0.03,27.97
original,46,0,10,50,10,5,49.38,5.46,0.11,75.74,2.7117671,0.041912,0.0154556,18.21,2.01,0.04,27.93
original,48,0,10,50,10,5,48.83,5.48,0.09,75.12,2.7215714,0.035354,0.0129903,17.94,2.01,0.03,27.6
original,50,0,10,50,10,5,49.22,5.44,0.09,75.59,2.7019585,0.037932,0.0140387,18.22,2.01,0.03,27.98
original,52,0,10,50,10,5,49.02,5.44,0.09,75.32,2.6963276,0.034968,0.0129688,18.18,2.02,0.03,27.93
original,54,0,10,50,10,5,49.2,5.46,0.09,75.44,2.7022721,0.035657,0.0131952,18.21,2.02,0.03,27.92
original,56,0,10,50,10,5,49.19,5.45,0.08,75.52,2.7055566,0.039655,0.0146569,18.18,2.01,0.03,27.91
original,58,0,10,50,10,5,49.33,5.42,0.11,75.63,2.695828,0.036673,0.0136036,18.3,2.01,0.04,28.05
original,60,0,10,50,10,5,49.47,5.45,0.08,75.88,2.7054632,0.036585,0.0135226,18.29,2.01,0.03,28.05
original,62,0,10,50,10,5,49.4,5.48,0.11,75.84,2.7146254,0.033642,0.0123929,18.2,2.02,0.04,27.94
original,64,0,10,50,10,5,49.27,5.47,0.09,75.67,2.7108106,0.036006,0.0132824,18.18,2.02,0.03,27.91
original,1,0,10,50,10,5,48.9,5.48,0.1,75.45,2.7210919,0.04197,0.015424,17.97,2.01,0.04,27.73
original,2,0,10,50,10,5,48.62,5.44,0.09,74.82,2.6976635,0.028465,0.0105517,18.02,2.02,0.03,27.74
original,4,0,10,50,10,5,48.88,5.4,0.11,74.86,2.6752325,0.02643,0.0098795,18.27,2.02,0.04,27.98
original,6,0,10,50,10,5,48.95,5.45,0.08,75.05,2.7035299,0.032878,0.0121611,18.11,2.02,0.03,27.76
original,8,0,10,50,10,5,49.09,5.62,0.09,76.04,2.7994853,0.03811,0.0136132,17.54,2.01,0.03,27.16
original,10,0,10,50,10,5,49.09,5.48,0.09,75.26,2.7151915,0.037441,0.0137895,18.08,2.02,0.03,27.72
original,12,0,10,50,10,5,48.69,5.42,0.11,74.71,2.6942431,0.033217,0.0123289,18.07,2.01,0.04,27.73
original,14,0,10,50,10,5,48.57,5.42,0.08,74.51,2.7016275,0.037353,0.0138261,17.98,2.01,0.03,27.58
original,16,0,10,50,10,5,49.65,5.48,0.09,76.01,2.7221753,0.044425,0.0163197,18.24,2.01,0.03,27.92
original,18,0,10,50,10,5,49.13,5.4,0.08,75.23,2.6868363,0.039958,0.0148718,18.29,2.01,0.03,28.0
original,20,0,10,50,10,5,49.14,5.43,0.09,75.2,2.6995002,0.036005,0.0133377,18.2,2.01,0.03,27.86
original,22,0,10,50,10,5,48.79,5.47,0.1,74.86,2.7083289,0.033127,0.0122315,18.01,2.02,0.04,27.64
original,24,0,10,50,10,5,49.13,5.4,0.1,75.23,2.6813964,0.034573,0.0128937,18.32,2.01,0.04,28.06
original,26,0,10,50,10,5,49.46,5.44,0.08,75.65,2.6948399,0.034465,0.0127893,18.35,2.02,0.03,28.07
original,28,0,10,50,10,5,49.21,5.45,0.11,75.41,2.7010948,0.035997,0.0133268,18.22,2.02,0.04,27.92
original,30,0,10,50,10,5,49.02,5.44,0.1,75.09,2.6967221,0.030602,0.0113479,18.18,2.02,0.04,27.84
original,32,0,10,50,10,5,49.12,5.38,0.1,75.1,2.6632712,0.029895,0.0112249,18.44,2.02,0.04,28.2
original,34,0,10,50,10,5,49.41,5.42,0.09,75.58,2.6936995,0.034175,0.012687,18.34,2.01,0.03,28.06
original,36,0,10,50,10,5,48.86,5.42,0.09,74.88,2.692147,0.036197,0.0134454,18.15,2.01,0.03,27.81
original,38,0,10,50,10,5,48.66,5.42,0.08,74.63,2.6929858,0.037844,0.0140528,18.07,2.01,0.03,27.71
original,40,0,10,50,10,5,48.87,5.43,0.11,74.95,2.6948457,0.032104,0.0119131,18.13,2.01,0.04,27.81
original,42,0,10,50,10,5,48.75,5.42,0.1,74.71,2.6923455,0.036478,0.0135488,18.11,2.01,0.04,27.75
original,44,0,10,50,10,5,49.12,5.51,0.1,75.27,2.7220113,0.038546,0.0141609,18.05,2.02,0.04,27.65
original,46,0,10,50,10,5,48.8,5.43,0.08,74.61,2.6938138,0.037448,0.0139015,18.12,2.02,0.03,27.7
original,48,0,10,50,10,5,48.75,5.43,0.11,74.61,2.6988485,0.037261,0.0138063,18.06,2.01,0.04,27.65
original,50,0,10,50,10,5,48.91,5.43,0.08,74.71,2.6961413,0.036031,0.0133639,18.14,2.01,0.03,27.71
original,52,0,10,50,10,5,48.81,5.46,0.11,74.73,2.6983423,0.039505,0.0146405,18.09,2.02,0.04,27.69
original,54,0,10,50,10,5,49.23,5.43,0.09,75.12,2.6965683,0.040085,0.0148652,18.26,2.01,0.03,27.86
original,56,0,10,50,10,5,49.0,5.47,0.1,75.19,2.7084242,0.042001,0.0155075,18.09,2.02,0.04,27.76
original,58,0,10,50,10,5,48.91,5.45,0.07,74.83,2.7086055,0.037974,0.0140198,18.06,2.01,0.03,27.63
original,60,0,10,50,10,5,49.05,5.5,0.1,75.23,2.7204427,0.035633,0.0130982,18.03,2.02,0.04,27.65
original,62,0,10,50,10,5,48.94,5.47,0.09,74.8,2.7053905,0.038104,0.0140845,18.09,2.02,0.03,27.65
original,64,0,10,50,10,5,48.86,5.45,0.1,74.78,2.6983989,0.032983,0.0122232,18.11,2.02,0.04,27.71
original,1,0,10,50,10,5,48.38,5.44,0.09,74.43,2.7006684,0.041047,0.0151988,17.91,2.01,0.03,27.56
original,2,0,10,50,10,5,48.74,5.48,0.09,74.97,2.7253477,0.041347,0.0151713,17.88,2.01,0.03,27.51
original,4,0,10,50,10,5,48.98,5.42,0.08,74.92,2.6927792,0.032086,0.0119156,18.19,2.01,0.03,27.82
original,6,0,10,50,10,5,49.01,5.42,0.11,74.96,2.6795402,0.034268,0.0127888,18.29,2.02,0.04,27.97
original,8,0,10,50,10,5,48.89,5.47,0.08,74.95,2.713651,0.040911,0.015076,18.02,2.02,0.03,27.62
original,10,0,10,50,10,5,49.18,5.41,0.09,74.99,2.6921311,0.032158,0.0119452,18.27,2.01,0.03,27.86
original,12,0,10,50,10,5,48.38,5.4,0.09,74.01,2.6760687,0.032531,0.0121563,18.08,2.02,0.03,27.66
original,14,0,10,50,10,5,49.06,5.39,0.12,74.85,2.6785177,0.037425,0.0139723,18.32,2.01,0.04,27.94
original,16,0,10,50,10,5,49.17,5.43,0.09,75.26,2.6987662,0.03616,0.0133987,18.22,2.01,0.03,27.89
original,18,0,10,50,10,5,48.91,5.46,0.09,75.12,2.7075802,0.033166,0.0122493,18.06,2.02,0.03,27.74
original,20,0,10,50,10,5,48.94,5.42,0.09,74.91,2.6983568,0.036602,0.0135646,18.14,2.01,0.03,27.76
original,22,0,10,50,10,5,48.74,5.43,0.1,74.8,2.6998418,0.031239,0.0115707,18.05,2.01,0.04,27.71
original,24,0,10,50,10,5,48.79,5.43,0.09,74.73,2.6913834,0.034803,0.0129313,18.13,2.02,0.03,27.77
original,26,0,10,50,10,5,49.13,5.48,0.1,75.35,2.7089079,0.037201,0.0137328,18.14,2.02,0.04,27.82
original,28,0,10,50,10,5,49.14,5.4,0.08,75.07,2.6762822,0.032855,0.0122764,18.36,2.02,0.03,28.05
original,30,0,10,50,10,5,48.82,5.46,0.12,74.92,2.7054916,0.034636,0.0128021,18.04,2.02,0.04,27.69
original,32,0,10,50,10,5,42.8,5.69,0.08,69.27,2.8288454,0.036691,0.0129703,15.13,2.01,0.03,24.49
original,34,0,10,50,10,5,50.11,5.48,0.11,76.32,2.7182442,0.059291,0.0218122,18.43,2.02,0.04,28.08
original,36,0,10,50,10,5,50.21,5.49,0.09,76.44,2.7192758,0.050956,0.0187388,18.46,2.02,0.03,28.11
original,38,0,10,50,10,5,48.81,5.49,0.09,74.99,2.7188804,0.03625,0.0133327,17.95,2.02,0.03,27.58
original,40,0,10,50,10,5,48.9,5.49,0.1,75.16,2.7261381,0.033419,0.0122587,17.94,2.01,0.04,27.57
original,42,0,10,50,10,5,49.54,5.48,0.1,75.98,2.7195173,0.042155,0.0155009,18.22,2.02,0.04,27.94
original,44,0,10,50,10,5,49.23,5.46,0.08,75.51,2.7100646,0.033836,0.0124853,18.17,2.01,0.03,27.86
original,46,0,10,50,10,5,49.9,5.49,0.11,76.5,2.7230358,0.039422,0.0144772,18.33,2.02,0.04,28.09
original,48,0,10,50,10,5,48.96,5.45,0.07,75.03,2.7080454,0.039135,0.0144514,18.08,2.01,0.03,27.71
original,50,0,10,50,10,5,48.72,5.46,0.1,74.81,2.7086947,0.032725,0.0120815,17.99,2.02,0.04,27.62
original,52,0,10,50,10,5,49.39,5.44,0.09,75.53,2.7014188,0.043519,0.0161097,18.28,2.01,0.03,27.96
original,54,0,10,50,10,5,49.33,5.47,0.1,75.68,2.7172664,0.03984,0.0146618,18.15,2.01,0.04,27.85
original,56,0,10,50,10,5,49.13,5.48,0.09,75.49,2.7151551,0.032452,0.0119522,18.09,2.02,0.03,27.8
original,58,0,10,50,10,5,49.76,5.46,0.1,76.28,2.7133023,0.039167,0.0144352,18.34,2.01,0.04,28.11
original,60,0,10,50,10,5,49.13,5.49,0.08,75.39,2.7208352,0.040395,0.0148465,18.06,2.02,0.03,27.71
original,62,0,10,50,10,5,49.13,5.45,0.11,75.23,2.6975641,0.037499,0.0139011,18.21,2.02,0.04,27.89
original,64,0,10,50,10,5,49.34,5.48,0.1,75.66,2.717546,0.044457,0.0163592,18.16,2.02,0.04,27.84
original,1,0,10,50,10,5,48.55,5.47,0.09,74.66,2.7175605,0.04256,0.0156611,17.87,2.01,0.03,27.47
original,2,0,10,50,10,5,48.6,5.53,0.08,75.08,2.749862,0.036615,0.0133152,17.67,2.01,0.03,27.3
original,4,0,10,50,10,5,48.85,5.44,0.12,74.93,2.7019701,0.02894,0.0107107,18.08,2.01,0.04,27.73
original,6,0,10,50,10,5,49.07,5.42,0.08,75.12,2.6928599,0.026693,0.0099125,18.22,2.01,0.03,27.9
original,8,0,10,50,10,5,48.99,5.46,0.11,75.26,2.7120872,0.034282,0.0126404,18.06,2.01,0.04,27.75
original,10,0,10,50,10,5,49.04,5.46,0.09,75.23,2.7018631,0.031517,0.0116649,18.15,2.02,0.03,27.84
original,12,0,10,50,10,5,48.96,5.42,0.11,74.83,2.6901868,0.034238,0.012727,18.2,2.01,0.04,27.82
original,14,0,10,50,10,5,48.97,5.4,0.08,74.88,2.6806598,0.037114,0.0138451,18.27,2.01,0.03,27.93
original,16,0,10,50,10,5,49.41,5.41,0.11,75.52,2.687937,0.034159,0.0127083,18.38,2.01,0.04,28.1
original,18,0,10,50,10,5,49.28,5.46,0.09,75.64,2.7196199,0.0411,0.0151124,18.12,2.01,0.03,27.81
original,20,0,10,50,10,5,49.31,5.47,0.1,75.65,2.712018,0.034291,0.0126441,18.18,2.02,0.04,27.89
original,22,0,10,50,10,5,49.56,5.48,0.09,75.8,2.7140008,0.038788,0.0142918,18.26,2.02,0.03,27.93
original,24,0,10,50,10,5,48.98,5.44,0.09,74.94,2.7046446,0.032673,0.0120803,18.11,2.01,0.03,27.71
original,26,0,10,50,10,5,48.73,5.43,0.09,74.76,2.7014896,0.033365,0.0123506,18.04,2.01,0.03,27.67
original,28,0,10,50,10,5,49.19,5.42,0.12,75.21,2.6934115,0.036869,0.0136886,18.26,2.01,0.04,27.92
original,30,0,10,50,10,5,49.0,5.44,0.09,75.02,2.693624,0.037891,0.0140669,18.19,2.02,0.03,27.85
original,32,0,10,50,10,5,49.32,5.46,0.09,75.58,2.707,0.032466,0.0119934,18.22,2.02,0.03,27.92
original,34,0,10,50,10,5,49.36,5.47,0.09,75.56,2.6957817,0.033661,0.0124865,18.31,2.03,0.03,28.03
original,36,0,10,50,10,5,50.46,5.51,0.12,76.86,2.7254455,0.040824,0.0149788,18.51,2.02,0.04,28.2
original,38,0,10,50,10,5,51.29,5.55,0.1,77.87,2.7429563,0.052354,0.0190867,18.7,2.02,0.04,28.39
original,40,0,10,50,10,5,50.51,5.54,0.09,76.98,2.7333324,0.039072,0.0142946,18.48,2.03,0.03,28.16
original,42,0,10,50,10,5,50.51,5.51,0.08,76.82,2.7213662,0.036579,0.0134414,18.56,2.02,0.03,28.23
original,44,0,10,50,10,5,50.58,5.54,0.11,77.15,2.7318911,0.032795,0.0120045,18.51,2.03,0.04,28.24
original,46,0,10,50,10,5,50.6,5.52,0.1,77.19,2.7228669,0.034921,0.0128251,18.58,2.03,0.04,28.35
original,48,0,10,50,10,5,51.05,5.53,0.11,77.75,2.7194786,0.037806,0.0139019,18.77,2.03,0.04,28.59
original,50,0,10,50,10,5,49.96,5.49,0.1,76.29,2.7082048,0.037178,0.0137279,18.45,2.03,0.04,28.17
original,52,0,10,50,10,5,50.57,5.55,0.11,77.1,2.7382127,0.032763,0.0119651,18.47,2.03,0.04,28.16
original,54,0,10,50,10,5,49.4,5.43,0.09,75.57,2.6922434,0.032735,0.012159,18.35,2.02,0.03,28.07
original,56,0,10,50,10,5,49.67,5.45,0.1,75.67,2.6906936,0.038024,0.0141317,18.46,2.03,0.04,28.12
original,58,0,10,50,10,5,49.04,5.43,0.08,75.09,2.6941384,0.037237,0.0138215,18.2,2.02,0.03,27.87
original,60,0,10,50,10,5,49.53,5.5,0.11,75.94,2.7229873,0.034821,0.0127878,18.19,2.02,0.04,27.89
original,62,0,10,50,10,5,49.24,5.46,0.09,75.5,2.7134031,0.040027,0.0147516,18.15,2.01,0.03,27.82
original,64,0,10,50,10,5,49.25,5.48,0.1,75.49,2.7206963,0.033278,0.0122314,18.1,2.01,0.04,27.75
original,1,0,10,50,10,5,48.34,5.41,0.08,74.26,2.6964866,0.041246,0.0152962,17.93,2.01,0.03,27.54
original,2,0,10,50,10,5,48.95,5.4,0.11,75.0,2.6880872,0.028547,0.0106198,18.21,2.01,0.04,27.9
original,4,0,10,50,10,5,48.82,5.44,0.08,74.87,2.6989889,0.038226,0.0141631,18.09,2.02,0.03,27.74
original,6,0,10,50,10,5,48.66,5.35,0.1,74.33,2.6598947,0.0275,0.0103388,18.29,2.01,0.04,27.94
original,8,0,10,50,10,5,48.5,5.41,0.09,74.31,2.691364,0.032105,0.0119289,18.02,2.01,0.03,27.61
original,10,0,10,50,10,5,49.19,5.48,0.09,75.36,2.720991,0.034837,0.0128031,18.08,2.01,0.03,27.7
original,12,0,10,50,10,5,48.99,5.42,0.08,74.72,2.6902975,0.034841,0.0129506,18.21,2.01,0.03,27.77
original,14,0,10,50,10,5,48.91,5.46,0.11,74.89,2.7030027,0.033546,0.0124106,18.09,2.02,0.04,27.71
original,16,0,10,50,10,5,48.82,5.46,0.1,74.96,2.7131508,0.035265,0.0129978,17.99,2.01,0.04,27.63
original,18,0,10,50,10,5,48.83,5.46,0.1,74.81,2.7070019,0.030439,0.0112445,18.04,2.02,0.04,27.64
original,20,0,10,50,10,5,48.96,5.38,0.07,74.76,2.674132,0.035789,0.0133834,18.31,2.01,0.03,27.96
original,22,0,10,50,10,5,49.25,5.46,0.1,75.27,2.7074301,0.035392,0.0130722,18.19,2.02,0.04,27.8
original,24,0,10,50,10,5,49.52,5.47,0.1,75.69,2.7148077,0.040175,0.0147985,18.24,2.01,0.04,27.88
original,26,0,10,50,10,5,49.54,5.43,0.11,75.62,2.6889141,0.034386,0.0127881,18.42,2.02,0.04,28.12
original,28,0,10,50,10,5,50.1,5.49,0.09,76.52,2.7241825,0.048416,0.0177727,18.39,2.02,0.03,28.09
original,30,0,10,50,10,5,49.57,5.5,0.09,76.05,2.7235382,0.039688,0.0145722,18.2,2.02,0.03,27.92
original,32,0,10,50,10,5,49.54,5.47,0.09,75.89,2.7063172,0.029976,0.0110763,18.31,2.02,0.03,28.04
original,34,0,10,50,10,5,49.19,5.47,0.11,75.43,2.7122901,0.036703,0.0135321,18.14,2.02,0.04,27.81
original,36,0,10,50,10,5,49.3,5.46,0.1,75.42,2.71197,0.042214,0.0155658,18.18,2.01,0.04,27.81
original,38,0,10,50,10,5,49.35,5.47,0.1,75.55,2.7195448,0.03914,0.0143921,18.15,2.01,0.04,27.78
