version,n-workers,n-secondary-workers,n-reservations,n-relations,n-queries,password-work-factor,Energy Cores,Energy Ram,Energy Gpu,Energy Pkg,Time (perf) (s),Time (exec) (s),Ratio time (%),Power_Cores,Power_Ram,Power_Gpu,Power_Pkg
original,34,0,1000,50,10,5,156.34,9.84,0.09,199.29,4.696329,2.006124,0.4271685,33.29,2.1,0.02,42.44
original,36,0,1000,50,10,5,161.65,9.99,0.16,205.31,4.7523268,2.096545,0.4411618,34.01,2.1,0.03,43.2
original,38,0,1000,50,10,5,160.22,9.96,0.14,203.89,4.7511684,2.066634,0.4349738,33.72,2.1,0.03,42.91
original,40,0,1000,50,10,5,160.91,10.04,0.1,204.84,4.7864793,2.083694,0.4353292,33.62,2.1,0.02,42.8
original,42,0,1000,50,10,5,158.9,9.93,0.16,202.4,4.7173805,2.046765,0.4338774,33.68,2.1,0.03,42.91
original,44,0,1000,50,10,5,161.6,10.0,0.16,205.36,4.7534873,2.080158,0.4376067,34.0,2.1,0.03,43.2
original,46,0,1000,50,10,5,161.84,10.03,0.08,205.61,4.7685715,2.108113,0.4420848,33.94,2.1,0.02,43.12
original,48,0,1000,50,10,5,161.32,10.07,0.15,205.49,4.796699,2.092479,0.4362331,33.63,2.1,0.03,42.84
original,50,0,1000,50,10,5,162.8,10.09,0.16,206.9,4.7987993,2.118031,0.4413669,33.93,2.1,0.03,43.11
original,52,0,1000,50,10,5,167.99,10.29,0.06,213.0,4.9110633,2.221052,0.4522548,34.21,2.1,0.01,43.37
original,54,0,1000,50,10,5,162.95,10.14,0.18,207.33,4.8220494,2.140476,0.4438934,33.79,2.1,0.04,43.0
original,56,0,1000,50,10,5,163.3,10.1,0.15,207.57,4.7844617,2.115452,0.4421505,34.13,2.11,0.03,43.38
original,58,0,1000,50,10,5,165.66,10.17,0.06,210.37,4.8474895,2.157121,0.4449976,34.17,2.1,0.01,43.4
original,60,0,1000,50,10,5,160.09,9.98,0.15,203.92,4.7461665,2.066972,0.4355035,33.73,2.1,0.03,42.97
original,62,0,1000,50,10,5,172.61,10.47,0.17,218.36,4.9732559,2.293671,0.4612011,34.71,2.11,0.03,43.91
original,64,0,1000,50,10,5,163.36,10.1,0.07,207.62,4.798655,2.127622,0.4433788,34.04,2.1,0.01,43.27
original,1,0,1000,50,10,5,93.41,10.68,0.2,148.3,5.5153173,2.81116,0.5097005,16.94,1.94,0.04,26.89
original,2,0,1000,50,10,5,106.52,9.41,0.16,152.31,4.7575145,2.059212,0.4328336,22.39,1.98,0.03,32.01
original,4,0,1000,50,10,5,117.11,8.75,0.04,157.97,4.3330854,1.61892,0.3736183,27.03,2.02,0.01,36.46
original,6,0,1000,50,10,5,123.45,8.88,0.16,164.34,4.3421801,1.636121,0.3767971,28.43,2.05,0.04,37.85
original,8,0,1000,50,10,5,132.91,8.9,0.14,172.77,4.2787358,1.568937,0.3666824,31.06,2.08,0.03,40.38
original,10,0,1000,50,10,5,133.75,9.03,0.11,174.19,4.3607738,1.677897,0.3847705,30.67,2.07,0.03,39.94
original,12,0,1000,50,10,5,140.31,9.16,0.16,181.03,4.3874211,1.693118,0.3859028,31.98,2.09,0.04,41.26
original,14,0,1000,50,10,5,141.03,9.22,0.14,182.23,4.4251274,1.713745,0.3872759,31.87,2.08,0.03,41.18
original,16,0,1000,50,10,5,148.51,9.51,0.09,190.72,4.5417351,1.837256,0.4045273,32.7,2.09,0.02,41.99
original,18,0,1000,50,10,5,149.6,9.55,0.14,191.76,4.5508516,1.847065,0.4058724,32.87,2.1,0.03,42.14
original,20,0,1000,50,10,5,147.06,9.43,0.17,188.89,4.4990464,1.799791,0.4000383,32.69,2.1,0.04,41.98
original,22,0,1000,50,10,5,154.46,9.72,0.1,197.42,4.6461662,1.951755,0.4200786,33.24,2.09,0.02,42.49
original,24,0,1000,50,10,5,157.71,9.78,0.19,200.84,4.6424354,1.986128,0.4278203,33.97,2.11,0.04,43.26
original,26,0,1000,50,10,5,156.19,9.75,0.17,199.16,4.6368397,1.95033,0.4206162,33.68,2.1,0.04,42.95
original,28,0,1000,50,10,5,159.72,9.91,0.08,203.25,4.7145359,2.027765,0.4301091,33.88,2.1,0.02,43.11
original,30,0,1000,50,10,5,166.38,10.2,0.19,211.17,4.8493841,2.149617,0.4432763,34.31,2.1,0.04,43.55
original,32,0,1000,50,10,5,169.92,10.35,0.15,215.34,4.9242828,2.223847,0.4516083,34.51,2.1,0.03,43.73
original,34,0,1000,50,10,5,161.71,10.01,0.07,205.73,4.7578987,2.071597,0.4354017,33.99,2.1,0.01,43.24
original,36,0,1000,50,10,5,161.9,10.02,0.13,206.09,4.7750018,2.08942,0.4375747,33.91,2.1,0.03,43.16
original,38,0,1000,50,10,5,167.89,10.28,0.17,213.12,4.8835805,2.182385,0.4468822,34.38,2.11,0.03,43.64
original,40,0,1000,50,10,5,168.4,10.31,0.07,213.59,4.8917734,2.175313,0.444688,34.43,2.11,0.01,43.66
original,42,0,1000,50,10,5,170.43,10.44,0.19,216.09,4.9421542,2.234548,0.4521405,34.48,2.11,0.04,43.72
original,44,0,1000,50,10,5,164.8,10.12,0.15,209.01,4.8021153,2.1263,0.442784,34.32,2.11,0.03,43.52
original,46,0,1000,50,10,5,161.4,10.06,0.08,205.34,4.7923512,2.074461,0.4328692,33.68,2.1,0.02,42.85
original,48,0,1000,50,10,5,163.18,10.06,0.14,207.18,4.7870994,2.103234,0.4393546,34.09,2.1,0.03,43.28
original,50,0,1000,50,10,5,163.92,10.16,0.2,208.32,4.8158992,2.12283,0.4407962,34.04,2.11,0.04,43.26
original,52,0,1000,50,10,5,164.37,10.11,0.07,208.71,4.8216344,2.135162,0.4428295,34.09,2.1,0.01,43.29
original,54,0,1000,50,10,5,164.76,10.16,0.15,209.15,4.8289933,2.139836,0.4431226,34.12,2.1,0.03,43.31
original,56,0,1000,50,10,5,175.17,10.64,0.18,221.31,5.0462871,2.366485,0.4689557,34.71,2.11,0.04,43.86
original,58,0,1000,50,10,5,163.75,10.09,0.08,207.81,4.8041898,2.114813,0.4402018,34.08,2.1,0.02,43.26
original,60,0,1000,50,10,5,167.24,10.2,0.18,211.85,4.8476707,2.182122,0.4501382,34.5,2.1,0.04,43.7
original,62,0,1000,50,10,5,167.15,10.31,0.15,212.01,4.8713092,2.184898,0.4485238,34.31,2.12,0.03,43.52
original,64,0,1000,50,10,5,171.49,10.36,0.07,216.91,4.9062034,2.249856,0.4585737,34.95,2.11,0.01,44.21
original,1,0,1000,50,10,5,97.22,10.73,0.2,152.48,5.5259945,2.828559,0.5118642,17.59,1.94,0.04,27.59
original,2,0,1000,50,10,5,107.6,9.36,0.17,153.45,4.7377566,2.044176,0.431465,22.71,1.98,0.04,32.39
original,4,0,1000,50,10,5,116.73,8.6,0.05,156.98,4.2570378,1.555649,0.3654299,27.42,2.02,0.01,36.88
original,6,0,1000,50,10,5,122.07,8.81,0.14,162.64,4.3315249,1.621888,0.3744381,28.18,2.03,0.03,37.55
original,8,0,1000,50,10,5,133.3,8.84,0.16,173.11,4.2534218,1.578397,0.3710888,31.34,2.08,0.04,40.7
original,10,0,1000,50,10,5,132.95,8.93,0.12,173.16,4.3172374,1.633887,0.3784566,30.8,2.07,0.03,40.11
original,12,0,1000,50,10,5,139.43,9.18,0.17,180.44,4.4136539,1.710902,0.3876385,31.59,2.08,0.04,40.88
original,14,0,1000,50,10,5,142.57,9.28,0.13,183.74,4.4624119,1.758097,0.3939791,31.95,2.08,0.03,41.18
original,16,0,1000,50,10,5,143.32,9.25,0.09,184.37,4.4408249,1.778464,0.4004806,32.27,2.08,0.02,41.52
original,18,0,1000,50,10,5,146.34,9.33,0.14,187.67,4.4692997,1.79827,0.4023606,32.74,2.09,0.03,41.99
original,20,0,1000,50,10,5,144.91,9.32,0.15,186.14,4.4658371,1.789845,0.400786,32.45,2.09,0.03,41.68
original,22,0,1000,50,10,5,152.99,9.61,0.12,195.46,4.6058082,1.943794,0.422031,33.22,2.09,0.03,42.44
original,24,0,1000,50,10,5,154.67,9.68,0.16,197.72,4.6271294,1.934498,0.4180774,33.43,2.09,0.03,42.73
original,26,0,1000,50,10,5,152.68,9.63,0.15,195.28,4.6049451,1.918379,0.4165911,33.16,2.09,0.03,42.41
original,28,0,1000,50,10,5,152.05,9.63,0.1,194.63,4.6017904,1.920689,0.4173786,33.04,2.09,0.02,42.29
original,30,0,1000,50,10,5,167.18,10.16,0.18,212.22,4.8518977,2.159739,0.4451328,34.46,2.09,0.04,43.74
original,32,0,1000,50,10,5,158.91,10.06,0.16,203.78,4.8157527,2.025476,0.4205939,33.0,2.09,0.03,42.32
original,34,0,1000,50,10,5,158.97,9.9,0.08,202.53,4.7063983,2.034476,0.4322788,33.78,2.1,0.02,43.03
original,36,0,1000,50,10,5,161.0,9.95,0.15,204.97,4.7540448,2.076155,0.4367134,33.87,2.09,0.03,43.11
original,38,0,1000,50,10,5,168.06,10.25,0.18,213.2,4.861949,2.191015,0.4506454,34.57,2.11,0.04,43.85
original,40,0,1000,50,10,5,161.9,10.0,0.08,205.92,4.7751234,2.092033,0.4381108,33.9,2.09,0.02,43.12
original,42,0,1000,50,10,5,160.15,9.92,0.15,203.9,4.7213959,2.031739,0.4303259,33.92,2.1,0.03,43.19
original,44,0,1000,50,10,5,164.84,10.13,0.17,209.18,4.8179264,2.135201,0.4431784,34.21,2.1,0.04,43.42
original,46,0,1000,50,10,5,161.58,10.02,0.09,205.64,4.7785437,2.074621,0.4341534,33.81,2.1,0.02,43.03
original,48,0,1000,50,10,5,165.29,10.08,0.17,209.63,4.8010943,2.150239,0.4478644,34.43,2.1,0.04,43.66
original,50,0,1000,50,10,5,160.12,9.93,0.14,204.02,4.7332951,2.031813,0.4292597,33.83,2.1,0.03,43.1
original,52,0,1000,50,10,5,158.9,9.83,0.09,202.5,4.6673863,2.010919,0.4308448,34.04,2.11,0.02,43.39
original,54,0,1000,50,10,5,180.28,10.78,0.14,227.39,5.1017604,2.383997,0.4672891,35.34,2.11,0.03,44.57
original,56,0,1000,50,10,5,168.12,10.24,0.21,213.08,4.8428747,2.166288,0.4473145,34.71,2.11,0.04,44.0
original,58,0,1000,50,10,5,174.7,10.55,0.07,220.83,5.007233,2.304446,0.4602234,34.89,2.11,0.01,44.1
original,60,0,1000,50,10,5,163.58,10.08,0.19,207.77,4.7746576,2.089371,0.437596,34.26,2.11,0.04,43.52
original,62,0,1000,50,10,5,163.26,10.07,0.14,207.37,4.7886387,2.100919,0.4387299,34.09,2.1,0.03,43.3
original,64,0,1000,50,10,5,162.05,9.99,0.06,205.8,4.7446309,2.073049,0.4369252,34.15,2.11,0.01,43.38
original,1,0,1000,50,10,5,94.38,10.65,0.2,149.38,5.494023,2.815884,0.5125359,17.18,1.94,0.04,27.19
original,2,0,1000,50,10,5,106.03,9.29,0.17,151.66,4.710656,2.034418,0.4318757,22.51,1.97,0.04,32.2
original,4,0,1000,50,10,5,118.32,8.6,0.05,158.9,4.2661438,1.609338,0.3772348,27.73,2.02,0.01,37.25
original,6,0,1000,50,10,5,123.5,8.71,0.16,163.78,4.2787135,1.607713,0.3757468,28.86,2.04,0.04,38.28
original,8,0,1000,50,10,5,129.85,8.72,0.13,169.07,4.2121878,1.549134,0.3677742,30.83,2.07,0.03,40.14
original,10,0,1000,50,10,5,134.37,8.84,0.12,173.78,4.2645277,1.604979,0.3763556,31.51,2.07,0.03,40.75
original,12,0,1000,50,10,5,137.47,9.11,0.16,178.25,4.3869104,1.684276,0.3839322,31.34,2.08,0.04,40.63
original,14,0,1000,50,10,5,143.13,9.3,0.14,184.43,4.4616509,1.764603,0.3955045,32.08,2.08,0.03,41.34
original,16,0,1000,50,10,5,140.23,9.07,0.09,180.48,4.3506214,1.679533,0.3860444,32.23,2.08,0.02,41.48
original,18,0,1000,50,10,5,144.04,9.24,0.16,185.09,4.4373121,1.771989,0.3993384,32.46,2.08,0.04,41.71
original,20,0,1000,50,10,5,145.25,9.35,0.15,186.59,4.4745194,1.780436,0.3979055,32.46,2.09,0.03,41.7
original,22,0,1000,50,10,5,150.51,9.53,0.12,192.5,4.5624327,1.883342,0.4127934,32.99,2.09,0.03,42.19
original,24,0,1000,50,10,5,147.77,9.44,0.14,189.55,4.518653,1.846955,0.4087402,32.7,2.09,0.03,41.95
original,26,0,1000,50,10,5,153.52,9.64,0.17,196.02,4.6149048,1.944441,0.4213393,33.27,2.09,0.04,42.48
original,28,0,1000,50,10,5,150.74,9.54,0.09,192.79,4.561471,1.910728,0.4188842,33.05,2.09,0.02,42.26
original,30,0,1000,50,10,5,159.1,9.89,0.14,202.39,4.7128564,2.039188,0.4326862,33.76,2.1,0.03,42.94
original,32,0,1000,50,10,5,156.23,9.71,0.18,199.08,4.6298039,1.987297,0.42924,33.74,2.1,0.04,43.0
original,34,0,1000,50,10,5,165.42,10.19,0.1,209.9,4.8573254,2.172835,0.4473316,34.06,2.1,0.02,43.21
original,36,0,1000,50,10,5,155.35,9.78,0.17,198.25,4.6523856,1.976105,0.4247509,33.39,2.1,0.04,42.61
original,38,0,1000,50,10,5,160.3,9.97,0.16,203.93,4.7571608,2.080311,0.437301,33.7,2.1,0.03,42.87
original,40,0,1000,50,10,5,161.14,10.0,0.08,204.7,4.7636258,2.084893,0.4376694,33.83,2.1,0.02,42.97
original,42,0,1000,50,10,5,169.43,10.4,0.18,214.7,4.9338142,2.237789,0.4535617,34.34,2.11,0.04,43.52
original,44,0,1000,50,10,5,159.36,9.94,0.16,202.72,4.7224598,2.033527,0.4306076,33.75,2.1,0.03,42.93
original,46,0,1000,50,10,5,164.49,10.14,0.06,208.58,4.8277796,2.137349,0.4427188,34.07,2.1,0.01,43.2
original,48,0,1000,50,10,5,164.82,10.15,0.15,209.27,4.8257727,2.134736,0.4423615,34.15,2.1,0.03,43.37
original,50,0,1000,50,10,5,168.84,10.29,0.17,213.88,4.8787518,2.19757,0.4504369,34.61,2.11,0.03,43.84
original,52,0,1000,50,10,5,170.98,10.4,0.07,216.21,4.9397454,2.261246,0.4577657,34.61,2.11,0.01,43.77
original,54,0,1000,50,10,5,164.55,10.15,0.14,209.06,4.8210032,2.140178,0.4439279,34.13,2.11,0.03,43.36
original,56,0,1000,50,10,5,160.5,10.25,0.17,205.54,4.8820571,2.08349,0.4267648,32.88,2.1,0.03,42.1
original,58,0,1000,50,10,5,165.13,10.21,0.06,209.53,4.8438902,2.158632,0.4456402,34.09,2.11,0.01,43.26
original,60,0,1000,50,10,5,161.33,10.04,0.14,205.12,4.7699968,2.089993,0.438154,33.82,2.1,0.03,43.0
original,62,0,1000,50,10,5,160.52,10.03,0.17,204.25,4.7609345,2.082702,0.4374566,33.72,2.11,0.04,42.9
original,64,0,1000,50,10,5,170.23,10.39,0.08,215.31,4.9386188,2.25457,0.4565183,34.47,2.1,0.02,43.6
original,1,0,1000,50,10,5,93.79,10.63,0.18,148.46,5.4945554,2.819224,0.5130941,17.07,1.93,0.03,27.02
original,2,0,1000,50,10,5,106.31,9.3,0.18,151.56,4.7046508,2.047277,0.4351602,22.6,1.98,0.04,32.21
original,4,0,1000,50,10,5,116.33,8.58,0.06,156.45,4.2587406,1.596798,0.3749461,27.32,2.01,0.01,36.74
original,6,0,1000,50,10,5,123.48,8.87,0.13,164.07,4.3515698,1.67194,0.3842154,28.38,2.04,0.03,37.7
original,8,0,1000,50,10,5,132.41,9.01,0.16,172.9,4.339433,1.606201,0.3701408,30.51,2.08,0.04,39.84
original,10,0,1000,50,10,5,134.21,8.96,0.12,174.29,4.3211922,1.622194,0.3754043,31.06,2.07,0.03,40.33
original,12,0,1000,50,10,5,137.83,9.06,0.14,178.22,4.3609116,1.682184,0.3857414,31.61,2.08,0.03,40.87
original,14,0,1000,50,10,5,142.86,9.29,0.16,184.09,4.4623522,1.763736,0.3952481,32.01,2.08,0.04,41.25
original,16,0,1000,50,10,5,144.16,9.32,0.1,185.42,4.4832608,1.798233,0.4010994,32.16,2.08,0.02,41.36
original,18,0,1000,50,10,5,145.0,9.41,0.14,186.59,4.5045878,1.807882,0.4013424,32.19,2.09,0.03,41.42
original,20,0,1000,50,10,5,145.8,9.42,0.18,187.63,4.5172907,1.824011,0.4037843,32.28,2.09,0.04,41.54
original,22,0,1000,50,10,5,149.58,9.45,0.08,191.45,4.5290742,1.86252,0.4112364,33.03,2.09,0.02,42.27
original,24,0,1000,50,10,5,153.75,9.77,0.14,196.74,4.674021,1.968899,0.4212431,32.89,2.09,0.03,42.09
original,26,0,1000,50,10,5,151.26,9.63,0.17,193.66,4.5995618,1.902219,0.4135653,32.89,2.09,0.04,42.1
original,28,0,1000,50,10,5,151.66,9.55,0.1,193.68,4.5689869,1.903107,0.4165271,33.19,2.09,0.02,42.39
original,30,0,1000,50,10,5,167.99,10.25,0.18,212.97,4.8765034,2.207795,0.4527414,34.45,2.1,0.04,43.67
original,32,0,1000,50,10,5,166.41,10.21,0.17,211.23,4.8504369,2.141709,0.4415497,34.31,2.1,0.04,43.55
